id,name,buildingId,floorId
10001,University Tower,,
10002,Gateway Study Center,,
10003,Aldrich Hall,,
10004,Public Services,,
10005,Cross-Cultural Center,,
10006,Engineering Lecture Hall,,
10007,Engineering Tower,,
10008,Humanities Gateway,,
10009,Humanities Hall,,
10010,Humanities Instructional Building,,
10011,Information & Computer Science 2,,
10012,Krieger Hall,,
10013,McGaugh Hall,,
10014,Music & Media Building,,
10015,Parkview Classroom Building,,
10016,Phoenix Food Court,,
10017,Qureshey Research Laboratory,,
10018,Frederick Reines Hall,,
10019,Rowland Hall,,
10020,Howard Schneiderman Lecture Hall,,
10021,Social Science Hall,,
10022,Social Science Laboratory,,
10023,Social Science Tower,,
10024,Social Science Trailer,,
10025,Social Science Trailer,,
10026,Steinhaus Hall,,
10027,Physical Sciences Lecture Hall,,
10028,Engineering & Computing Trailer,,
10029,Bonney Research Laboratory,,
10030,Natural Sciences II,,
10031,Biological Sciences III,,
10032,Engineering Hall,,
10033,Disability Services Center,,
10034,Interim Classroom Facility,,
10035,Rockwell Engineering Center,,
10036,Physical Sciences Classroom Building,,
10037,Natural Sciences I,,
10038,Disability Services Center,,
10039,Engineering Laboratory Facility,,
10040,Physical Sciences High Bay,,
10041,Engineering Gateway,,
10042,Croul Hall,,
10043,Donald Bren Hall,,
10044,Mesa Arts Building,,
10045,Langson Library,,
10046,Calif. Inst. for Telecom. & Info. Tech.,,
10047,Multipurpose Science & Technology Bldg.,,
10048,Grounds Maintenance Facility,,
10049,Administrative Modular,,
10050,Building Services Bldg.,,
10051,Anteater Instruction & Research Building,,
10052,Social & Behavioral Sciences Gateway,,
10053,Social Science Lecture Hall,,
10054,pippin,,
10055,Merage School of Business,,
10056,Contemporary Arts Center,,
10057,Anteater Ballpark/Newkirk Pavilion,,
10058,Anteater Learning Pavilion,,
10059,Anteater Recreation Center (ARC),,
10060,Arboretum,,
10061,Ayala Science Library,,
10062,Banning House,,
10063,Beckman Laser Institute,,
10064,Berk Hall/Nursing Science,,
10065,Bison Modular,,
10066,Bren Events Center,,
10067,Centerpointe,,
10068,Child Development Center,,
10069,Childrens Center,,
10070,Court Building,,
10071,Education Building,,
10072,Electrical Substation,,
10073,Field Building,,
10074,Gavin Herbert Eye Institute,,
10075,Gillespie Neuroscience Research Facility,,
10076,Gottschalk Medical Plaza,,
10077,Hewitt Research Hall,,
10078,Information & Computer Science,,
10079,Irvine Hall,,
10080,Law Building,,
10081,Medical Education Building,,
10082,Medical Sciences A,,
10083,Medical Sciences A Annex,,
10084,Medical Sciences B,,
10085,Medical Sciences C,,
10086,"Medical Sciences D, Cheney Hall",,
10087,Medical Sciences E,,
10088,Medical Surge I,,
10089,Medical Surge II,,
10090,Mesa Office Building,,
10091,Newkirk Alumni Center,,
10092,Sprague Hall,,
10093,Student Center,,
10094,Student Center Parking Structure,,
10095,Student Health Center,,
10096,Sue & Bill Gross Hall: A CIRM Institute,,
10097,Tamkin Student Lecture Building,,
10098,University Research Center,,
12510,Continuing Education,,
12511,Facilities Management Building,,
12512,Social Science Plaza A,,
12513,Early Childhood Education Center,,
12514,Starbucks Kiosk,,
12515,Crawford Hall,,
12516,Receiving,,
12517,Facilities Management Shops,,
12518,Social Ecology I,,
12519,Merage School of Business II,,
12520,Continuing Education 5,,
12521,B.C.s Cavern Food Court,,
12522,KUCI Radio Station,,
12523,Arts Annex,,
12524,Winifred Smith Hall,,
12525,Claire Trevor Theatre,,
12526,Robert Cohen Theatre & Dance Studios,,
12527,William J. Gillespie Performance Studios,,
12528,Cafe Med,,
12529,Central Plant,,
12530,Track & Field House,,
12531,Anteater Stadium,,
12532,Crawford Clubhouse,,
12533,Multipurpose Academic & Administrative Bldg.,,
12534,Infant/Toddler Center 1,,
12535,Student Health Center II,,
12536,Env. Health & Safety Services Facility,,
12537,Production Studio,,
12538,Faculty Research Facility,,
12539,near Merage School of Business II,,
12540,Summer Session B,,
12541,Summer Session A,,
12542,Continuing Education 4,,
12543,Continuing Education 3,,
12544,Continuing Education 6,,
12545,Infant/Toddler Center 2,,
12546,Intercollegiate Athletics Building,,
12547,Arts Instruction & Technology Resource Center,,
12548,Drama Building,,
12549,Art Studio,,
12550,Studio Four,,
12551,Medical Sciences Classroom Facility,,
12552,Social Science Plaza B,,
12553,Social Ecology II,,
12554,Academy Univ. Research Park,,
12555,California Univ Research Park,,
12556,Middle Earth Pippin Commons,,
12557,Arroyo Vista Housing Office,,
12558,Innovation Univ Research Park,,
12559,Uni Hills Community Ctr,,
12560,ICHA Poolhouse #4,,
12561,Anteater Community Resource Center,,
12562,Palo Verde 2 Housing Office,,
12563,Theory Univ Research Park,,
12564,Theory Dr Univ Research Park,,
12565,Tierney Uni House,,
12566,Verano Place Cyber Cafe (3400),,
12567,Verano Place 67000,,
12568,Verano Place 68000,,
12569,Verano Place Housing Office,,
12570,Verano Place Extended Day Care,,
12571,Verano Place Preschool,,
13202,floor 1,10095,
13203,floor 1,10004,
13204,floor 1,12510,
13205,floor 2,12510,
13206,floor 5,12510,
13207,floor t,12511,
13208,floor b,10045,
13209,floor b,12512,
13210,floor 1,12513,
13211,floor 1,10072,
13212,floor -,12514,
13213,floor b,12515,
13214,floor 2,12516,
13215,floor 1,10060,
13216,floor 1,12517,
13217,floor 2,10002,
13218,floor 1,10045,
13219,floor 2,10045,
13220,floor 3,10045,
13221,floor 4,10045,
13222,floor 1,10005,
13223,floor b,10093,
13224,floor 1,10023,
13225,floor 3,10023,
13226,floor 4,10023,
13227,floor 5,10023,
13228,floor 6,10023,
13229,floor 7,10023,
13230,floor 1,10016,
13231,floor 1,12518,
13232,floor 1,12519,
13233,floor 1,10055,
13234,floor 1,10062,
13235,floor 1,12520,
13236,floor 1,10078,
13237,floor 2,10078,
13238,floor 1,10007,
13239,floor 1,10032,
13240,floor 1,10035,
13241,floor 1,10046,
13242,floor 3,10046,
13243,floor 4,10046,
13244,floor 1,10018,
13245,floor 1,12521,
13246,floor 2,10017,
13247,floor 3,10017,
13248,floor 1,10029,
13249,floor 1,10065,
13250,floor 2,10061,
13251,floor 4,10061,
13252,floor 5,10061,
13253,floor 6,10061,
13254,floor 1,12522,
13255,floor 1,12523,
13256,floor 1,10054,
13257,floor 1,10009,
13258,floor 1,10058,
13259,floor 2,10058,
13260,floor 3,10058,
13261,floor 1,10059,
13262,floor 2,10059,
13263,floor 1,10070,
13264,floor 1,10073,
13265,floor 1,12524,
13266,floor 1,12525,
13267,floor 1,12526,
13268,floor 1,10056,
13269,floor 1,12527,
13270,floor 1,12528,
13271,floor 1,10089,
13272,floor 1,10087,
13273,floor 1,10081,
13274,floor 1,10096,
13275,floor 2,10096,
13276,floor 3,10096,
13277,floor 4,10096,
13278,floor 1,10074,
13279,floor 1,10050,
13280,floor 1,10066,
13281,floor 2,10066,
13282,floor 2,12529,
13283,floor 1,12515,
13284,floor 1,12530,
13285,floor 1,12531,
13286,floor 1,10057,
13287,floor 2,10057,
13288,floor 1,12532,
13289,floor b,10003,
13290,floor 1,12533,
13291,floor 2,12533,
13292,floor 3,12533,
13293,floor 4,12533,
13294,floor 3,10071,
13295,floor b,10019,
13296,floor 1,10080,
13297,floor 2,10080,
13298,floor b,10026,
13299,floor 1,12534,
13300,floor 1,12535,
13301,floor 2,10004,
13302,floor b,10052,
13303,floor 1,10071,
13304,floor 2,10071,
13305,floor b,10018,
13306,floor 1,12536,
13307,floor 2,12536,
13308,floor b,10042,
13309,floor 3,10080,
13310,floor 4,10080,
13311,floor b,10013,
13312,floor b,10031,
13313,floor 1,10044,
13314,floor 2,10044,
13315,floor 3,10044,
13316,floor b,10058,
13317,floor b,10010,
13318,floor b,10056,
13319,floor 1,12537,
13320,floor b,10076,
13321,floor 3,12510,
13322,floor b,10081,
13323,floor b,10075,
13324,floor b,10092,
13325,floor b,10077,
13326,floor 4,12510,
13327,floor b,10096,
13328,floor b,10074,
13329,floor 1,10068,
13330,floor 1,12511,
13331,floor 1,12538,
13332,floor 1,10002,
13333,floor 5,10045,
13334,floor 1,10003,
13335,floor 2,10003,
13336,floor 3,10003,
13337,floor 4,10003,
13338,floor 5,10003,
13339,floor 6,10003,
13340,floor g,10093,
13341,floor a,10093,
13342,floor c,10093,
13343,floor 1,10021,
13344,floor 2,10023,
13345,floor 1,10022,
13346,floor 2,10022,
13347,floor 4,10022,
13348,floor 1,10025,
13349,floor 2,12518,
13350,floor 3,12518,
13351,floor 1,10053,
13352,floor 2,12539,
13353,floor 2,12519,
13354,floor 3,12519,
13355,floor 4,12519,
13356,floor 1,12540,
13357,floor 2,12540,
13358,floor 1,12541,
13359,floor 2,12541,
13360,floor 1,12542,
13361,floor 1,12543,
13362,floor 1,12544,
13363,floor 3,10078,
13364,floor 4,10078,
13365,floor 2,10007,
13366,floor 3,10007,
13367,floor 4,10007,
13368,floor 5,10007,
13369,floor 6,10007,
13370,floor 7,10007,
13371,floor 8,10007,
13372,floor 9,10007,
13373,floor 1,10011,
13374,floor 2,10011,
13375,floor 1,10006,
13376,floor 3,10035,
13377,floor 1,10038,
13378,floor 1,10034,
13379,floor 1,10028,
13380,floor 1,10039,
13381,floor 2,10039,
13382,floor 1,10019,
13383,floor 2,10019,
13384,floor 3,10019,
13385,floor 4,10019,
13386,floor 5,10019,
13387,floor 1,10027,
13388,floor 1,10036,
13389,floor 2,10036,
13390,floor 1,10047,
13391,floor 2,10047,
13392,floor 1,10049,
13393,floor 1,10091,
13394,floor 2,10091,
13395,floor 1,10020,
13396,floor 1,10026,
13397,floor 2,10026,
13398,floor 3,10026,
13399,floor 4,10026,
13400,floor 5,10026,
13401,floor 1,10017,
13402,floor 1,10061,
13403,floor 3,10061,
13404,floor 1,12545,
13405,floor 2,10090,
13406,floor 1,10012,
13407,floor 2,10012,
13408,floor 3,10012,
13409,floor 4,10012,
13410,floor 5,10012,
13411,floor 2,10009,
13412,floor 3,10009,
13413,floor 1,10010,
13414,floor 2,10010,
13415,floor 3,10010,
13416,floor 4,10010,
13417,floor 1,12546,
13418,floor 2,12546,
13419,floor 1,12547,
13420,floor 2,12547,
13421,floor 1,12548,
13422,floor 2,12548,
13423,floor 1,12549,
13424,floor 1,12550,
13425,floor 2,12550,
13426,floor 1,10014,
13427,floor 2,10014,
13428,floor 3,10014,
13429,floor 1,10064,
13430,floor 2,10064,
13431,floor 1,10088,
13432,floor 2,10084,
13433,floor 2,10089,
13434,floor 1,10082,
13435,floor 1,10063,
13436,floor 2,10063,
13437,floor 2,10076,
13438,floor 2,10085,
13439,floor 1,10097,
13440,floor 1,12551,
13441,floor 1,10079,
13442,floor 2,10079,
13443,floor 1,10092,
13444,floor 2,10092,
13445,floor 3,10092,
13446,floor 1,10048,
13447,floor 3,10002,
13448,floor 1,12512,
13449,floor 2,12512,
13450,floor 3,12512,
13451,floor 4,12512,
13452,floor 5,12512,
13453,floor 1,12552,
13454,floor 2,12552,
13455,floor 3,12552,
13456,floor 4,12552,
13457,floor 5,12552,
13458,floor 1,10052,
13459,floor 2,10052,
13460,floor 3,10052,
13461,floor 4,10052,
13462,floor 5,10052,
13463,floor 1,12553,
13464,floor 2,12553,
13465,floor 3,12553,
13466,floor 2,10055,
13467,floor 3,10055,
13468,floor 4,10055,
13469,floor 5,10055,
13470,floor 2,10032,
13471,floor 3,10032,
