"space_id","space_name","space_type","building_id","floor_id","lattitude","longitude"
103,Multipurpose Science & Technology Bldg.,Building,,,,
2,Public Services,Building,,,,
48,William J. Gillespie Performance Studios,Building,,,,
122,Tamkin Student Lecture Building,Building,,,,
47,Contemporary Arts Center,Building,,,,
155,Verano Place 67000,Building,,,,
17,Student Center,Building,,,,
60,Anteater Stadium,Building,,,,
139,California Univ Research Park,Building,,,,
147,Anteater Community Resource Center,Building,,,,
123,Medical Sciences Classroom Facility,Building,,,,
90,Summer Session B,Building,,,,
91,Summer Session A,Building,,,,
117,Medical Surge I,Building,,,,
152,Tierney Uni House,Building,,,,
102,Physical Sciences Classroom Building,Building,,,,
76,Mesa Arts Building,Building,,,,
53,Medical Education Building,Building,,,,
135,Anteater Instruction & Research Building,Building,,,,
144,Innovation Univ Research Park,Building,,,,
13,Facilities Management Shops,Building,,,,
64,Multipurpose Academic & Administrative Bldg.,Building,,,,
84,Faculty Research Facility,Building,,,,
9,Starbucks Kiosk,Building,,,,
75,Biological Sciences III,Building,,,,
18,Social Science Tower,Building,,,,
22,Merage School of Business,Building,,,,
34,Bison Modular,Building,,,,
61,Anteater Ballpark/Newkirk Pavilion,Building,,,,
157,Verano Place Housing Office,Building,,,,
132,Physical Sciences High Bay,Building,,,,
69,Infant/Toddler Center 1,Building,,,,
77,Humanities Instructional Building,Building,,,,
104,Administrative Modular,Building,,,,
43,Field Building,Building,,,,
54,Sue & Bill Gross Hall: A CIRM Institute,Building,,,,
150,Theory Univ Research Park,Building,,,,
37,Arts Annex,Building,,,,
112,Drama Building,Building,,,,
4,Facilities Management Building,Building,,,,
142,Middle Earth Pippin Commons,Building,,,,
108,Mesa Office Building,Building,,,,
137,Medical Sciences A Annex,Building,,,,
97,Disability Services Center,Building,,,,
35,Ayala Science Library,Building,,,,
21,Merage School of Business II,Building,,,,
33,Bonney Research Laboratory,Building,,,,
100,Engineering Laboratory Facility,Building,,,,
98,Interim Classroom Facility,Building,,,,
116,Berk Hall/Nursing Science,Building,,,,
1,Student Health Center,Building,,,,
62,Crawford Clubhouse,Building,,,,
73,Croul Hall,Building,,,,
129,Engineering Gateway,Building,,,,
50,Medical Surge II,Building,,,,
159,Verano Place Preschool,Building,,,,
19,Phoenix Food Court,Building,,,,
16,"Student Services I, II",Building,,,,
136,"Art, Culture & Technology",Building,,,,
128,Donald Bren Hall,Building,,,,
26,Engineering Tower,Building,,,,
106,Howard Schneiderman Lecture Hall,Building,,,,
27,Engineering Hall,Building,,,,
20,Social Ecology I,Building,,,,
5,Langson Library,Building,,,,
45,Claire Trevor Theatre,Building,,,,
131,Parkview Classroom Building,Building,,,,
55,Gavin Herbert Eye Institute,Building,,,,
126,Social Science Plaza B,Building,,,,
7,Early Childhood Education Center,Building,,,,
95,Information & Computer Science 2,Building,,,,
118,Medical Sciences B,Building,,,,
88,Social Science Lecture Hall,Building,,,,
85,Social Science Hall,Building,,,,
32,Qureshey Research Laboratory,Building,,,,
101,Physical Sciences Lecture Hall,Building,,,,
89,near Merage School of Business II,Building,,,,
120,Beckman Laser Institute,Building,,,,
70,Student Health Center II,Building,,,,
36,KUCI Radio Station,Building,,,,
40,Anteater Learning Pavilion,Building,,,,
66,Rowland Hall,Building,,,,
74,McGaugh Hall,Building,,,,
3,Continuing Education,Building,,,,
56,Building Services Bldg.,Building,,,,
71,Social & Behavioral Sciences Gateway,Building,,,,
67,Law Building,Building,,,,
59,Track & Field House,Building,,,,
158,Verano Place Extended Day Care,Building,,,,
134,Humanities Gateway,Building,,,,
93,Continuing Education 3,Building,,,,
94,Continuing Education 6,Building,,,,
92,Continuing Education 4,Building,,,,
24,Continuing Education 5,Building,,,,
63,Aldrich Hall,Building,,,,
79,Gottschalk Medical Plaza,Building,,,,
42,Court Building,Building,,,,
12,Arboretum,Building,,,,
10,Crawford Hall,Building,,,,
127,Social Ecology II,Building,,,,
151,Theory Dr Univ Research Park,Building,,,,
111,Arts Instruction & Technology Resource Center,Building,,,,
87,Social Science Trailer,Building,,,,
141,Centerpointe,Building,,,,
146,ICHA Poolhouse #4,Building,,,,
83,Child Development Center,Building,,,,
124,Irvine Hall,Building,,,,
133,Natural Sciences I,Building,,,,
154,Verano Place Cyber Café (3400),Building,,,,
99,Engineering & Computing Trailer,Building,,,,
44,Winifred Smith Hall,Building,,,,
143,Arroyo Vista Housing Office,Building,,,,
57,Bren Events Center,Building,,,,
72,Env. Health & Safety Services Facility,Building,,,,
153,University Tower,Building,,,,
148,Palo Verde 2 Housing Office,Building,,,,
115,Music & Media Building,Building,,,,
38,pippin,Building,,,,
23,Banning House,Building,,,,
52,Medical Sciences E,Building,,,,
41,Anteater Recreation Center (ARC),Building,,,,
119,Medical Sciences A,Building,,,,
6,Social Science Plaza A,Building,,,,
121,Medical Sciences C,Building,,,,
39,Humanities Hall,Building,,,,
114,Studio Four,Building,,,,
49,Cafe Med,Building,,,,
81,Sprague Hall,Building,,,,
149,Student Center Parking Structure,Building,,,,
51,"Medical Sciences D, Cheney Hall",Building,,,,
14,Gateway Study Center,Building,,,,
11,Receiving,Building,,,,
109,Krieger Hall,Building,,,,
15,Cross-Cultural Center,Building,,,,
138,Academy Univ. Research Park,Building,,,,
145,Uni Hills Community Ctr,Building,,,,
29,Calif. Inst. for Telecom. & Info. Tech.,Building,,,,
107,Infant/Toddler Center 2,Building,,,,
28,Rockwell Engineering Center,Building,,,,
86,Social Science Laboratory,Building,,,,
110,Intercollegiate Athletics Building,Building,,,,
130,Natural Sciences II,Building,,,,
125,Grounds Maintenance Facility,Building,,,,
8,Electrical Substation,Building,,,,
105,Newkirk Alumni Center,Building,,,,
78,Production Studio,Building,,,,
30,Frederick Reines Hall,Building,,,,
96,Engineering Lecture Hall,Building,,,,
31,B.C.s Cavern Food Court,Building,,,,
65,Education Building,Building,,,,
25,Information & Computer Science,Building,,,,
80,Gillespie Neuroscience Research Facility,Building,,,,
46,Robert Cohen Theatre & Dance Studios,Building,,,,
58,Central Plant,Building,,,,
140,Childrens Center,Building,,,,
156,Verano Place 68000,Building,,,,
82,Hewitt Research Hall,Building,,,,
68,Steinhaus Hall,Building,,,,
113,Art Studio,Building,,,,
232,"1",Floor,52,,,
214,"1",Floor,37,,,
381,"2",Floor,111,,,
507,"1",Floor,146,,,
246,"1",Floor,61,,,
519,"2",Floor,153,,,
258,b,Floor,68,,,
434,"2",Floor,27,,,
391,"2",Floor,116,,,
480,"1",Floor,135,,,
247,"2",Floor,61,,,
376,"3",Floor,77,,,
514,"2",Floor,150,,,
359,"3",Floor,68,,,
283,b,Floor,80,,,
210,"4",Floor,35,,,
226,"1",Floor,46,,,
417,"1",Floor,126,,,
326,"2",Floor,26,,,
319,"1",Floor,91,,,
458,"1",Floor,131,,,
377,"4",Floor,77,,,
338,"1",Floor,97,,,
284,b,Floor,81,,,
225,"1",Floor,45,,,
328,"4",Floor,26,,,
304,"1",Floor,85,,,
196,"2",Floor,25,,,
235,"2",Floor,54,,,
275,"3",Floor,76,,,
194,"1",Floor,24,,,
511,"5",Floor,148,,,
443,"6",Floor,128,,,
295,"1",Floor,63,,,
187,"6",Floor,18,,,
407,"1",Floor,81,,,
430,"2",Floor,22,,,
455,"3",Floor,130,,,
177,"2",Floor,5,,,
330,"6",Floor,26,,,
490,"1",Floor,79,,,
384,"1",Floor,113,,,
269,"3",Floor,67,,,
389,"3",Floor,115,,,
352,"2",Floor,103,,,
273,"1",Floor,76,,,
212,"6",Floor,35,,,
481,"2",Floor,135,,,
502,"1",Floor,141,,,
495,"2",Floor,82,,,
399,"2",Floor,121,,,
453,"1",Floor,130,,,
279,"1",Floor,78,,,
332,"8",Floor,26,,,
510,"2",Floor,148,,,
205,"2",Floor,32,,,
447,"4",Floor,129,,,
175,"2",Floor,14,,,
358,"2",Floor,68,,,
172,"2",Floor,11,,,
313,"2",Floor,89,,,
439,"2",Floor,128,,,
299,"5",Floor,63,,,
198,"1",Floor,27,,,
354,"1",Floor,105,,,
364,"3",Floor,35,,,
270,"4",Floor,67,,,
317,"1",Floor,90,,,
298,"4",Floor,63,,,
463,"3",Floor,73,,,
449,"2",Floor,30,,,
268,b,Floor,73,,,
204,"1",Floor,31,,,
483,"4",Floor,135,,,
444,"1",Floor,129,,,
403,"1",Floor,122,,,
227,"1",Floor,47,,,
492,"3",Floor,53,,,
321,"1",Floor,92,,,
249,b,Floor,63,,,
243,"1",Floor,10,,,
188,"7",Floor,18,,,
394,"2",Floor,50,,,
349,"1",Floor,102,,,
361,"5",Floor,68,,,
316,"4",Floor,21,,,
236,"3",Floor,54,,,
485,"3",Floor,47,,,
337,"3",Floor,28,,,
469,"1",Floor,133,,,
290,"1",Floor,4,,,
216,"1",Floor,39,,,
282,b,Floor,53,,,
386,"2",Floor,114,,,
315,"3",Floor,21,,,
418,"2",Floor,126,,,
277,b,Floor,77,,,
524,"1",Floor,157,,,
259,"1",Floor,69,,,
242,"2",Floor,58,,,
503,"1",Floor,142,,,
347,"5",Floor,66,,,
428,"2",Floor,127,,,
520,"3",Floor,153,,,
429,"3",Floor,127,,,
369,"3",Floor,109,,,
486,"4",Floor,47,,,
526,"1",Floor,159,,,
322,"1",Floor,93,,,
498,"2",Floor,138,,,
355,"2",Floor,105,,,
523,"1",Floor,156,,,
293,"5",Floor,5,,,
497,"1",Floor,138,,,
294,"2",Floor,16,,,
466,"3",Floor,74,,,
